Ticker,Name,Price,"GICS Sector
","GICS Ind Name
","ROIC LF
","ROE LF
","Free Cash Flow Margin
","T12M EBITDA Mrgn LF
","Net Mrgn 5Yr Avg LF
","OPM LF
","GM LF
","Interest Coverage Ratio
","Debt/Equity LF
","Debt/Assets LF
","Modified Working Capital Turnover LF
","Inv Turnover LF
","A/R Trnovr LF
","Cash Conversion Cycle LF
","Cash Ratio LF
","Quick Ratio LF
","Curr Ratio LF
"
USFD UN Equity,US Foods Holding Corp,32.52,Consumer Staples,Food & Staples Retailing,6.476275921,11.09829903,1.935309765,4.202167034,1.516566992,2.682434082,17.83963013,0,138.2852478,45.43763351,19.25686646,15.75212097,18.51463127,18.91050911,0.038102999,0.654106975,1.381032944
USM UN Equity,United States Cellular Corp,29.98,Communication Services,Wireless Telecommunication Services,1.415580988,3.053065062,1.839880656,24.26653481,2.943209887,-0.285171002,53.13688278,0,58.77754211,30.38951492,5.097591877,11.73684216,4.292422771,55.43377304,0.379999995,1.641332984,2.097332954
USNA UN Equity,USANA Health Sciences Inc,72.26,Consumer Staples,Personal Products,25.69742966,27.06466103,11.8298286,15.81165981,9.729532242,16.42879868,82.5693512,0,0,0,16.52739906,2.485903025,--,--,1.725448012,1.725448012,2.419425964
USPH UN Equity,US Physical Therapy Inc,105.21,Health Care,Health Care Providers & Services,12.88695621,17.55318832,10.84281354,21.17771149,8.38224411,12.51781082,--,0,36.32432175,24.57595253,9.355806351,--,8.963195801,--,0.388817996,1.314316988,1.409870982
USX UN Equity,US Xpress Enterprises Inc,4,Industrials,Road & Rail,2.404818058,-1.568267941,-2.811473379,10.2913208,0.160444006,0.303135991,18.95034409,0,291.2704163,58.97304535,14.15522671,--,9.131249428,--,0.018616,0.61996299,0.840377986
UTHR UW Equity,United Therapeutics Corp,101.09,Health Care,Biotechnology,-3.864995956,-3.74002409,-20.03727223,-9.255935669,-2.900048971,20.41144371,90.74252319,0,30.74377823,21.84289932,5.931626797,1.209877014,8.858452797,288.1372681,3.209286928,3.536284924,4.026998043
UTL UN Equity,Unitil Corp,56.81,Utilities,Multi-Utilities,5.670654774,12.14786339,-3.263350068,28.79963493,8.682044983,18.90034485,49.82817841,0,137.8980865,37.90487289,5.921621799,279,3.86760807,30.10610008,0.032540999,0.690237999,0.819149017
UTX UN Equity,United Technologies Corp,126.9,Industrials,Aerospace & Defense,6.289850235,13.80453777,8.601355035,17.48176384,6.508541107,9.467546463,24.63812637,0,104.534584,33.16441727,5.720034122,5.426235199,5.543875217,64.14850616,0.213322997,0.604349017,1.084167004
UUUU UA Equity,Energy Fuels Inc/Canada,1.26,Energy,"Oil, Gas & Consumable Fuels",-24.02546692,-26.54535484,-24.87626493,-449.3359375,-1192.744385,-2087.943359,96.21749115,0,13.22832489,9.788722038,0.413940996,0.318260998,8.535620689,--,3.438349962,3.585180044,7.273337841
UVE UN Equity,Universal Insurance Holdings Inc,21.54,Financials,Insurance,10.74235344,16.56675148,27.11454985,--,3.475166082,12.17247772,--,0,2.106573105,0.655230999,--,--,--,--,--,--,--
UVV UN Equity,Universal Corp/VA,48.72,Consumer Staples,Tobacco,5.204160213,6.591313839,5.646760685,10.12757397,4.16607523,8.73479557,18.40870857,0,36.44287491,22.92949486,1.696715951,1.611628056,6.407441139,253.3490143,0.239199996,1.244202971,5.834204197
V UN Equity,Visa Inc,186.58,Information Technology,IT Services,24.03193283,42.35185242,52.34800017,68.03400421,52.93841553,66.33630371,--,0,48.94244385,23.08340454,16.74973297,--,15.34572697,--,0.720745981,0.815234005,1.269639969
VAC UN Equity,Marriott Vacations Worldwide Corp,89.87,Consumer Discretionary,"Hotels, Restaurants & Leisure",2.048418045,4.259259224,7.715269805,11.61882877,3.333153009,11.35371208,42.4454155,0,78.45595551,25.80855179,1.425531983,2.88269496,1.770684958,293.6454163,0.192746997,1.909335017,2.764271021
VAPO UN Equity,Vapotherm Inc,10.18,Health Care,Health Care Equipment & Supplies,--,--,-106.5318451,-93.10816956,-107.3697968,-107.6972885,44.49995422,0,68.51300049,36.96329117,--,--,--,--,6.156261921,6.661015987,7.612662792
VAR UN Equity,Varian Medical Systems Inc,125.23,Health Care,Health Care Equipment & Supplies,12.51267624,15.71375942,9.729930855,14.88077259,9.507955551,13.27060032,44.25141907,0,36.28923798,15.14368534,2.433881998,3.546391964,3.202822924,182.4817047,0.352766007,0.880131006,1.293491006
VC UW Equity,Visteon Corp,63.62,Consumer Discretionary,Auto Components,6.219954014,14.81481457,1.392190153,7.674024105,3.07128191,6.451612949,13.97849464,0,93.1092453,24.39454079,14.50738907,14.84985828,5.889999866,20.22972679,0.583959997,1.228070021,1.685464025
VCRA UN Equity,Vocera Communications Inc,24.75,Health Care,Health Care Technology,-5.407000065,-11.00730991,6.2060598,-3.453720093,-9.82957077,-1.454120994,61.44767761,0,75.91454315,33.57141876,4.437802792,15.99865627,4.366571903,80.28053284,3.245531082,3.846256971,4.072684765
VEC UN Equity,Vectrus Inc,52.94,Industrials,Aerospace & Defense,12.68725204,14.38465595,0.824942393,4.990084171,2.612191916,4.277919769,9.375505447,0,26.60522461,10.92580509,14.04053783,--,5.515587807,--,0.145787001,1.257164955,1.323845983
VECO UW Equity,Veeco Instruments Inc,14.13,Information Technology,Semiconductors & Semiconductor Equipment,-6.794401169,-19.38551331,-4.361283799,1.054252982,-44.11459732,-6.063497066,39.72544861,0,83.99303436,38.45111847,2.459813118,1.804939985,7.45681715,204.4613953,2.068496943,2.454763889,4.025222778
VEEV UN Equity,Veeva Systems Inc,146.41,Health Care,Health Care Technology,18.59394646,20.74284744,39.33244028,28.89679337,28.1695652,19.38762474,69.72180176,0,3.291799068,2.413440943,3.322417974,--,3.185667992,--,1.971704006,2.678725004,2.777941942
VER UN Equity,VEREIT Inc,9.025,Real Estate,Equity Real Estate Investment Trusts (REITs),-2.497268915,-5.206791878,-14.17686549,13.12977219,-18.87256432,35.69194794,--,3.8,86.60741425,44.6271286,--,--,--,--,--,--,--
VFC UN Equity,VF Corp,71.08,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",18.45713234,29.13842583,10.20740635,19.39174271,10.68008327,17.10030746,55.6698494,0,77.4308548,32.70425797,4.269218922,3.339690924,7.178968906,123.0619736,0.297616988,1.134354949,2.117993116
VG UW Equity,Vonage Holdings Corp,8.74,Communication Services,Diversified Telecommunication Services,0.623098016,-3.533092022,6.108651309,8.762378693,-1.789376974,1.283553958,56.2077179,0,97.93585205,40.69443893,28.15953255,347.085907,13.42718029,-5.911627769,0.093768999,0.497956008,0.687061012
VGR UN Equity,Vector Group Ltd,11.13,Consumer Staples,Tobacco,15.24958515,--,10.51984399,18.34485817,6.145284176,13.57239819,40.98310089,0,--,118.3811722,13.26110458,10.25800133,44.2498703,39.48387909,1.086415052,1.166563988,1.478129029
VHC UA Equity,VirnetX Holding Corp,5.87,Information Technology,Software,-218.3903656,-222.1742859,-35393.65079,-25705.95313,-58845.53125,-124400,--,0,0,0,16.79999924,--,16.79999924,--,3.245625019,3.249375105,3.446249962
VHI UN Equity,Valhi Inc,1.355,Materials,Chemicals,9.251242638,--,5.719465963,14.68938637,8.794595718,6.77609396,20.7070713,0,79.95430756,30.00782967,2.692120075,--,5.370337963,--,1.807857037,3.05250001,4.881429195
VIAC UW Equity,ViacomCBS Inc,21.38,Communication Services,Media,8.410800934,17.61920929,3.153315116,18.12369156,13.59480476,-0.189200997,30.05385017,0,157.4234314,42.24641037,1.92009306,4.289348125,2.518847942,212.5606995,0.069849998,0.866268992,1.315428972
VICI UN Equity,VICI Properties Inc,24.83,Real Estate,Equity Real Estate Investment Trusts (REITs),7.029527187,7.386559963,-127.5893554,94.76853943,61.77253723,95.46218109,98.08956146,0,59.85831451,36.31936646,--,--,--,--,3.273973942,3.273973942,3.805757999
VICR UW Equity,Vicor Corp,45.22,Industrials,Electrical Equipment,6.636117935,7.244268894,3.697281511,9.65217495,6.081439972,1.417822003,47.14613724,0,2.125128031,1.817410946,3.433321953,2.900068998,6.430698872,150.2506409,2.828866959,4.102338791,5.982827187
VIR UW Equity,Vir Biotechnology Inc,43.25,Health Care,Biotechnology,--,--,-975.1687289,-1086.76416,--,-1112.598389,--,0,0.787935019,0.534457982,--,--,--,--,2.466748953,2.466748953,2.951363087
VIRT UW Equity,Virtu Financial Inc,22.93,Financials,Capital Markets,-1.354959011,-5.909835815,12.75420258,23.91739464,0.606857002,-8.250597954,--,0,620.2328491,79.32117462,--,--,--,--,--,--,--
VIVO UW Equity,Meridian Bioscience Inc,8.13,Health Care,Health Care Equipment & Supplies,7.993711948,10.16295433,15.93620345,19.4785614,10.87599754,11.37470722,57.86465836,0,44.32516479,25.86298752,2.861366034,1.953868985,5.8697052,218.1179657,1.967033029,2.980375051,4.373569012
