                                                Industry Mean Price
30                                         Gas Utilities   9.63285406
31                      Health Care Equipment & Supplies -42.79948295
32                      Health Care Providers & Services   0.24823316
33                                Health Care Technology -13.93322496
34                         Hotels, Restaurants & Leisure  11.10406521
35                                    Household Durables   5.05812304
36                                    Household Products  31.75451031
37 Independent Power and Renewable Electricity Producers  -3.01629080
38                              Industrial Conglomerates  17.82618933
39                                             Insurance   6.73334404
40                          Interactive Media & Services   3.15722073
41                    Internet & Direct Marketing Retail  -7.65399804
42                                           IT Services   4.24469515
43                                      Leisure Products  -8.84763174
44                        Life Sciences Tools & Services  -6.34019632
45                                             Machinery  12.34861228
46                                                Marine  -9.08260684
47                                                 Media  11.50754291
48                                       Metals & Mining  -0.51312079
49        Mortgage Real Estate Investment Trusts (REITs)   3.20087798
50                                       Multi-Utilities  10.06396770
51                                      Multiline Retail  17.37670901
52                           Oil, Gas & Consumable Fuels  -1.43548599
53                               Paper & Forest Products   4.61475443
54                                     Personal Products -11.77648699
55                                       Pharmaceuticals -83.85150483
56                                 Professional Services  14.10187661
57                  Real Estate Management & Development  -0.91217306
58                                           Road & Rail  -6.41556809
59              Semiconductors & Semiconductor Equipment  10.37654130
60                                              Software -17.69508944
61                                      Specialty Retail  17.89746731
62            Technology Hardware, Storage & Peripherals  21.05186981
63                      Textiles, Apparel & Luxury Goods  10.94749783
64                            Thrifts & Mortgage Finance   7.05084637
65                                               Tobacco -20.53393531
66                      Trading Companies & Distributors  14.19521999
67                         Transportation Infrastructure   5.77679618
68                                         Uncategorized -12.53027695
69                                       Water Utilities   8.84369157
70                   Wireless Telecommunication Services   3.87123897

                                                Industry Mean Free Cash Flow Margin
1                                    Aerospace & Defense               -143.9669453
2                                Air Freight & Logistics                  4.2472804
3                                               Airlines                  5.1908800
4                                        Auto Components                -72.0419525
5                                            Automobiles              -1355.5984700
6                                                  Banks                 27.7422595
7                                              Beverages                 -1.8778647
8                                          Biotechnology              -2199.4470487
9                                      Building Products                  7.1063774
10                                       Capital Markets                 31.7901036
11                                             Chemicals                 -8.1800089
12                        Commercial Services & Supplies                 -7.3445669
13                              Communications Equipment                -43.8687139
14                            Construction & Engineering                 -5.1899574
15                                Construction Materials                  4.9618024
16                                      Consumer Finance                 19.0588069
17                                Containers & Packaging                  7.0267128
18                                          Distributors                  2.5757491
19                         Diversified Consumer Services                  2.3593082
20                        Diversified Financial Services                 13.3172758
21                Diversified Telecommunication Services                 -6.8265266
22                                    Electric Utilities                 -8.7446923
23                                  Electrical Equipment               -178.3963589
24        Electronic Equipment, Instruments & Components               -148.5897644
25                           Energy Equipment & Services                 -4.1711636
26                                         Entertainment                -21.1287993
27          Equity Real Estate Investment Trusts (REITs)                -32.9074535
28                              Food & Staples Retailing                -14.4003874
29                                         Food Products                -18.6292800
30                                         Gas Utilities                -12.9873799
31                      Health Care Equipment & Supplies              -1011.7572408
32                      Health Care Providers & Services                 -3.9751339
33                                Health Care Technology                -71.5688678
34                         Hotels, Restaurants & Leisure                  2.7297136
35                                    Household Durables                 -0.1127570
36                                    Household Products                 11.3592641
37 Independent Power and Renewable Electricity Producers                -28.7283367
38                              Industrial Conglomerates                 13.8265586
39                                             Insurance                  7.9055099
40                          Interactive Media & Services                 -9.1866700
41                    Internet & Direct Marketing Retail                -17.4702461
42                                           IT Services                  2.0310927
43                                      Leisure Products                  3.0157739
44                        Life Sciences Tools & Services               -491.5078685
45                                             Machinery                  4.8811641
46                                                Marine                 -7.0633744
47                                                 Media                 -1.6757903
48                                       Metals & Mining               -182.8636620
49        Mortgage Real Estate Investment Trusts (REITs)                 16.6378385
50                                       Multi-Utilities                 -2.1695457
51                                      Multiline Retail                  3.3405243
52                           Oil, Gas & Consumable Fuels                -16.0253630
53                               Paper & Forest Products                  7.4031148
54                                     Personal Products                -45.0547694
55                                       Pharmaceuticals              -2227.1722774
56                                 Professional Services               -603.4227936
57                  Real Estate Management & Development                -27.2498868
58                                           Road & Rail                 -4.2454209
59              Semiconductors & Semiconductor Equipment                -19.9518347
60                                              Software               -224.1529046
61                                      Specialty Retail                 -0.3064325
62            Technology Hardware, Storage & Peripherals                  1.9354373
63                      Textiles, Apparel & Luxury Goods                  0.2466834
64                            Thrifts & Mortgage Finance                 18.4696913
65                                               Tobacco                  8.7019003
66                      Trading Companies & Distributors                 -3.0420517
67                         Transportation Infrastructure                 13.2587433
68                                         Uncategorized                -69.8788704
69                                       Water Utilities               -233.5310238
70                   Wireless Telecommunication Services                  3.3564414

                                                Industry Mean T12M EBITDA Mrgn LF
1                                    Aerospace & Defense            -7.013673e+01
2                                Air Freight & Logistics             9.747364e+00
3                                               Airlines             2.070861e+01
4                                        Auto Components            -1.895382e+02
5                                            Automobiles            -2.509458e+03
6                                                  Banks             5.299596e+01
7                                              Beverages             1.575184e+01
8                                          Biotechnology            -3.496425e+03
9                                      Building Products             1.197149e+01
10                                       Capital Markets             3.436674e+01
11                                             Chemicals             5.358646e+00
12                        Commercial Services & Supplies            -2.093868e+00
13                              Communications Equipment            -5.638996e+01
14                            Construction & Engineering             8.387954e+00
15                                Construction Materials             1.819963e+01
16                                      Consumer Finance             3.209088e+01
17                                Containers & Packaging             1.590752e+01
18                                          Distributors             9.008751e+00
19                         Diversified Consumer Services             1.627262e+01
20                        Diversified Financial Services             2.541194e+01
21                Diversified Telecommunication Services            -1.617309e+01
22                                    Electric Utilities             3.365516e+01
23                                  Electrical Equipment            -4.150942e+02
24        Electronic Equipment, Instruments & Components            -6.513188e+01
25                           Energy Equipment & Services             5.986179e+00
26                                         Entertainment            -2.664134e+01
27          Equity Real Estate Investment Trusts (REITs)             5.450924e+01
28                              Food & Staples Retailing            -1.413782e+00
29                                         Food Products            -1.100330e+01
30                                         Gas Utilities             2.865998e+01
31                      Health Care Equipment & Supplies            -4.463147e+02
32                      Health Care Providers & Services             3.798862e+00
33                                Health Care Technology             8.012622e-01
34                         Hotels, Restaurants & Leisure             2.022513e+01
35                                    Household Durables             4.171545e+00
36                                    Household Products             1.728117e+01
37 Independent Power and Renewable Electricity Producers             4.509204e+01
38                              Industrial Conglomerates             1.901244e+01
39                                             Insurance             1.648268e+01
40                          Interactive Media & Services             9.957435e+00
41                    Internet & Direct Marketing Retail            -1.674860e+00
42                                           IT Services             1.451958e+01
43                                      Leisure Products             9.901833e+00
44                        Life Sciences Tools & Services            -1.633892e+03
45                                             Machinery             1.272490e+01
46                                                Marine             1.602778e+01
47                                                 Media             6.934172e+00
48                                       Metals & Mining             1.626239e+01
49        Mortgage Real Estate Investment Trusts (REITs)             7.914238e+01
50                                       Multi-Utilities             3.205654e+01
51                                      Multiline Retail             1.104168e+01
52                           Oil, Gas & Consumable Fuels             1.699783e+01
53                               Paper & Forest Products             1.182428e+01
54                                     Personal Products            -5.014592e+01
55                                       Pharmaceuticals            -1.325929e+04
56                                 Professional Services             1.141246e+01
57                  Real Estate Management & Development             1.133228e+01
58                                           Road & Rail             1.729763e+01
59              Semiconductors & Semiconductor Equipment            -7.618033e+00
60                                              Software            -1.136767e+02
61                                      Specialty Retail             9.645588e+00
62            Technology Hardware, Storage & Peripherals             7.238232e+00
63                      Textiles, Apparel & Luxury Goods             9.480588e+00
64                            Thrifts & Mortgage Finance             6.093645e+01
65                                               Tobacco             1.581814e+01
66                      Trading Companies & Distributors             2.095226e+01
67                         Transportation Infrastructure             2.624034e+01
68                                         Uncategorized             1.106362e+01
69                                       Water Utilities            -1.701563e+02
70                   Wireless Telecommunication Services             2.996998e+01

                                                Industry Mean Net Mrgn 5Yr Avg LF
1                                    Aerospace & Defense              -36.5839904
2                                Air Freight & Logistics                3.1932637
3                                               Airlines                7.5372317
4                                        Auto Components            -5801.0421329
5                                            Automobiles            -5598.6134928
6                                                  Banks               27.9856994
7                                              Beverages                5.2536889
8                                          Biotechnology            -6169.9455302
9                                      Building Products                3.4089901
10                                       Capital Markets               17.7710071
11                                             Chemicals              -16.3623606
12                        Commercial Services & Supplies              -21.1481388
13                              Communications Equipment               -1.3179490
14                            Construction & Engineering                1.9035058
15                                Construction Materials                3.3890644
16                                      Consumer Finance               12.5059256
17                                Containers & Packaging                5.3278119
18                                          Distributors                3.6809979
19                         Diversified Consumer Services               -4.7401072
20                        Diversified Financial Services                4.7835948
21                Diversified Telecommunication Services              -44.5357947
22                                    Electric Utilities               10.5533545
23                                  Electrical Equipment             -446.0107660
24        Electronic Equipment, Instruments & Components              -64.3789094
25                           Energy Equipment & Services              -27.4585625
26                                         Entertainment              -22.7711616
27          Equity Real Estate Investment Trusts (REITs)               20.6222466
28                              Food & Staples Retailing               -3.1789788
29                                         Food Products              -20.7952751
30                                         Gas Utilities                9.7290624
31                      Health Care Equipment & Supplies             -190.0476845
32                      Health Care Providers & Services              -17.8710546
33                                Health Care Technology              -11.1041276
34                         Hotels, Restaurants & Leisure                3.9836682
35                                    Household Durables               -1.1782159
36                                    Household Products                9.7736696
37 Independent Power and Renewable Electricity Producers               -3.5506290
38                              Industrial Conglomerates               11.8459807
39                                             Insurance               -4.7449496
40                          Interactive Media & Services               -0.2098787
41                    Internet & Direct Marketing Retail              -38.8939964
42                                           IT Services                4.5286482
43                                      Leisure Products              -19.3216780
44                        Life Sciences Tools & Services            -2455.1774746
45                                             Machinery                3.9526554
46                                                Marine               -7.4917256
47                                                 Media               30.8010613
48                                       Metals & Mining                4.6238414
49        Mortgage Real Estate Investment Trusts (REITs)                9.6986336
50                                       Multi-Utilities               11.2172076
51                                      Multiline Retail                2.6778896
52                           Oil, Gas & Consumable Fuels              -22.7183354
53                               Paper & Forest Products                0.4601822
54                                     Personal Products              -67.0811004
55                                       Pharmaceuticals             -493.6326629
56                                 Professional Services               -1.5072910
57                  Real Estate Management & Development                9.6635242
58                                           Road & Rail               -6.8580972
59              Semiconductors & Semiconductor Equipment              -16.9439511
60                                              Software             -370.3408987
61                                      Specialty Retail                0.5048291
62            Technology Hardware, Storage & Peripherals               -5.1624528
63                      Textiles, Apparel & Luxury Goods               -2.8658176
64                            Thrifts & Mortgage Finance               18.8494288
65                                               Tobacco               -1.5235442
66                      Trading Companies & Distributors                6.3401956
67                         Transportation Infrastructure               -1.5224223
68                                         Uncategorized                      NaN
69                                       Water Utilities             -397.1929835
70                   Wireless Telecommunication Services               -0.1706260

                                                Industry   Mean OPM LF
1                                    Aerospace & Defense   -26.0883664
2                                Air Freight & Logistics    -1.9732105
3                                               Airlines    10.9295449
4                                        Auto Components -3555.8222417
5                                            Automobiles -1104.3136256
6                                                  Banks    35.1664000
7                                              Beverages    10.0146163
8                                          Biotechnology -7529.6382228
9                                      Building Products     6.2310496
10                                       Capital Markets    24.2678235
11                                             Chemicals    -3.9313645
12                        Commercial Services & Supplies    -7.0694453
13                              Communications Equipment   -66.5922840
14                            Construction & Engineering     4.2560456
15                                Construction Materials     7.0857024
16                                      Consumer Finance    14.9660272
17                                Containers & Packaging     9.0712820
18                                          Distributors     5.0259075
19                         Diversified Consumer Services   -45.1094333
20                        Diversified Financial Services    14.4805931
21                Diversified Telecommunication Services   -71.0595202
22                                    Electric Utilities    13.8852727
23                                  Electrical Equipment  -461.0718630
24        Electronic Equipment, Instruments & Components   -48.6708053
25                           Energy Equipment & Services   -15.4701662
26                                         Entertainment   -85.1324536
27          Equity Real Estate Investment Trusts (REITs)    25.0362819
28                              Food & Staples Retailing    -3.1370587
29                                         Food Products   -20.6176017
30                                         Gas Utilities    20.8518873
31                      Health Care Equipment & Supplies  -421.3721464
32                      Health Care Providers & Services   -16.8202887
33                                Health Care Technology    -9.9184648
34                         Hotels, Restaurants & Leisure     8.9301195
35                                    Household Durables     0.1422768
36                                    Household Products    14.7315949
37 Independent Power and Renewable Electricity Producers    13.2661835
38                              Industrial Conglomerates    14.0025754
39                                             Insurance    -0.5959461
40                          Interactive Media & Services   -21.5823058
41                    Internet & Direct Marketing Retail   -53.5053638
42                                           IT Services     6.4530548
43                                      Leisure Products     1.2609677
44                        Life Sciences Tools & Services -9600.6660366
45                                             Machinery     2.9969605
46                                                Marine     1.0306140
47                                                 Media    -6.0986527
48                                       Metals & Mining   -98.6931434
49        Mortgage Real Estate Investment Trusts (REITs)    68.4204050
50                                       Multi-Utilities    16.8022438
51                                      Multiline Retail     6.0504105
52                           Oil, Gas & Consumable Fuels   -53.0552291
53                               Paper & Forest Products    -1.5734285
54                                     Personal Products   -78.5699063
55                                       Pharmaceuticals -2247.6426420
56                                 Professional Services  -657.5129511
57                  Real Estate Management & Development     7.9399552
58                                           Road & Rail     3.5926819
59              Semiconductors & Semiconductor Equipment   -12.5089398
60                                              Software  -635.7115528
61                                      Specialty Retail     1.3881808
62            Technology Hardware, Storage & Peripherals     3.3827081
63                      Textiles, Apparel & Luxury Goods     2.1035882
64                            Thrifts & Mortgage Finance     4.1159354
65                                               Tobacco     5.5879872
66                      Trading Companies & Distributors    10.8876841
67                         Transportation Infrastructure    15.9856011
68                                         Uncategorized -1174.0447439
69                                       Water Utilities  -146.9343657
70                   Wireless Telecommunication Services     3.6455810

                                                Industry  Mean GM LF
1                                    Aerospace & Defense   25.411064
2                                Air Freight & Logistics   25.489320
3                                               Airlines         NaN
4                                        Auto Components -881.133899
5                                            Automobiles    6.233176
6                                                  Banks         NaN
7                                              Beverages   49.496617
8                                          Biotechnology   69.642630
9                                      Building Products   26.638692
10                                       Capital Markets   64.962852
11                                             Chemicals   27.422455
12                        Commercial Services & Supplies   31.395078
13                              Communications Equipment   47.072193
14                            Construction & Engineering   16.874166
15                                Construction Materials   25.756284
16                                      Consumer Finance   58.180352
17                                Containers & Packaging   22.909950
18                                          Distributors   32.870266
19                         Diversified Consumer Services   38.979786
20                        Diversified Financial Services   36.260102
21                Diversified Telecommunication Services   51.942768
22                                    Electric Utilities   64.699607
23                                  Electrical Equipment   20.863478
24        Electronic Equipment, Instruments & Components   25.584495
