Ticker,Name,Price,"GICS Sector
","GICS Ind Name
","P/FCF LF
","P/B LF
","P/S LF
","P/E LF
"
DISCA UW Equity,Discovery Inc,25.21,Communication Services,Media,5.568488121,1.737792015,1.552456021,10.59205532
DISCK UW Equity,Discovery Inc,23.91,Communication Services,Media,5.568488121,1.737792015,1.552456021,10.59205532
DISH UW Equity,DISH Network Corp,31.37,Communication Services,Media,8.188097,1.435065985,1.331485987,13.69911385
DLR UN Equity,Digital Realty Trust Inc,128.32,Real Estate,Equity Real Estate Investment Trusts (REITs),--,3.025348902,7.77256918,107.3891678
DLTR UW Equity,Dollar Tree Inc,78.24,Consumer Discretionary,Multiline Retail,24.79668045,3.294460058,0.874863982,18.23612022
DOV UN Equity,Dover Corp,105.18,Industrials,Machinery,22.06549263,5.484387875,2.345132113,21.98039818
DOW UN Equity,Dow Inc,39.91,Materials,Chemicals,10.46243763,2.996989012,0.945150971,13.83052063
DRE UN Equity,Duke Realty Corp,34.31,Real Estate,Equity Real Estate Investment Trusts (REITs),--,2.542155027,12.91819191,34.68848801
DRI UN Equity,Darden Restaurants Inc,87.49,Consumer Discretionary,"Hotels, Restaurants & Leisure",17.83861351,6.128145218,1.626088977,18.80371475
DTE UN Equity,DTE Energy Co,114.85,Utilities,Multi-Utilities,--,2.138633013,1.892747998,20.63682175
DUK UN Equity,Duke Energy Corp,99.07,Utilities,Electric Utilities,--,1.490345955,2.649544954,18.00721169
DVA UN Equity,DaVita Inc,80.3,Health Care,Health Care Providers & Services,8.399600983,4.425775051,0.997192979,13.60802841
DVN UN Equity,Devon Energy Corp,15.7,Energy,"Oil, Gas & Consumable Fuels",148.0752106,1.709848046,1.399556041,20.79999542
DXC UN Equity,DXC Technology Co,20.06,Information Technology,IT Services,3.923309088,1.089043975,0.491971999,7.675611019
EA UW Equity,Electronic Arts Inc,110.44,Communication Services,Entertainment,17.96147346,4.322980881,5.895433903,11.15511608
EBAY UW Equity,eBay Inc,37.13,Consumer Discretionary,Internet & Direct Marketing Retail,11.84938145,10.01517773,2.832530975,14.03391838
ECL UN Equity,Ecolab Inc,198.13,Materials,Chemicals,34.31581497,6.408335209,3.729326963,32.32836151
ED UN Equity,Consolidated Edison Inc,86.64,Utilities,Multi-Utilities,--,1.671651959,2.364675045,20.82903099
EFX UN Equity,Equifax Inc,156.53,Industrials,Professional Services,--,6.585955143,4.829781055,30.32365417
EIX UN Equity,Edison International,68.8,Utilities,Electric Utilities,--,2.051965952,2.076304913,15.58560467
EL UN Equity,Estee Lauder Cos Inc/The,187.9,Consumer Staples,Personal Products,42.42975616,16.22859383,4.706622124,28.68348122
EMN UN Equity,Eastman Chemical Co,59.54,Materials,Chemicals,10.02075577,1.808455944,1.174376965,11.12859535
EMR UN Equity,Emerson Electric Co,64.46,Industrials,Electrical Equipment,18.30790329,5.538608074,2.543312073,21.04084015
EOG UN Equity,EOG Resources Inc,60.95,Energy,"Oil, Gas & Consumable Fuels",27.80521965,2.252288103,2.834677935,17.81822586
EQIX UW Equity,Equinix Inc,612.95,Real Estate,Equity Real Estate Investment Trusts (REITs),--,5.632475853,8.828062057,90.36286163
EQR UN Equity,Equity Residential,78.29,Real Estate,Equity Real Estate Investment Trusts (REITs),--,2.926147938,11.09848499,57.94979858
ES UN Equity,Eversource Energy,96.51,Utilities,Electric Utilities,--,2.221929073,3.205658913,24.67358971
ESS UN Equity,Essex Property Trust Inc,293.23,Real Estate,Equity Real Estate Investment Trusts (REITs),43.52561569,3.196633101,13.56648922,47.86546326
ETFC UW Equity,E*TRADE Financial Corp,42.6,Financials,Capital Markets,3.54619503,1.728628039,3.424258947,11.41142464
ETN UN Equity,Eaton Corp PLC,93.63,Industrials,Electrical Equipment,13.82327938,2.434259892,1.854895949,16.4144249
ETR UN Equity,Entergy Corp,125.05,Utilities,Electric Utilities,--,2.333605051,2.149563074,10.5071764
EVRG UN Equity,Evergy Inc,71.22,Utilities,Electric Utilities,28.65423012,1.720983028,3.022098064,22.41047859
EW UN Equity,Edwards Lifesciences Corp,207.54,Health Care,Health Care Equipment & Supplies,52.50183868,11.75926018,11.17452431,44.16808701
EXC UW Equity,Exelon Corp,45.37,Utilities,Electric Utilities,--,1.372274041,1.28737998,14.70407104
EXPD UW Equity,Expeditors International of Washington I,71.76,Industrials,Air Freight & Logistics,18.40997314,6.029038906,1.630815029,23.01474953
EXPE UW Equity,Expedia Group Inc,91.2,Consumer Discretionary,Internet & Direct Marketing Retail,10.01781845,3.887233973,1.319527984,26.10994339
EXR UN Equity,Extra Space Storage Inc,109.95,Real Estate,Equity Real Estate Investment Trusts (REITs),45.79933548,5.386469841,10.34839916,32.68838501
F UN Equity,Ford Motor Co,6.72,Consumer Discretionary,Automobiles,3.695538998,1.11116004,0.236941993,8.007914543
FANG UW Equity,Diamondback Energy Inc,57.29,Energy,"Oil, Gas & Consumable Fuels",--,1.114420056,3.748399973,14.36303806
FAST UW Equity,Fastenal Co,34.67,Industrials,Trading Companies & Distributors,35.52484131,7.958456993,3.971086979,26.89751244
FB UW Equity,Facebook Inc,184.33,Communication Services,Interactive Media & Services,27.62195587,5.792675018,8.286896706,23.96682358
FBHS UN Equity,Fortune Brands Home & Security Inc,63.3,Industrials,Building Products,18.11227226,3.757750034,1.59010303,19.04499245
FCX UN Equity,Freeport-McMoRan Inc,9.96,Materials,Metals & Mining,--,2.047441959,1.322285056,--
FDX UN Equity,FedEx Corp,129.24,Industrials,Air Freight & Logistics,--,2.239783049,0.602585018,11.71749878
FE UN Equity,FirstEnergy Corp,46.68,Utilities,Electric Utilities,--,3.767124891,2.35620594,19.86370087
FFIV UW Equity,F5 Networks Inc,117.92,Information Technology,Communications Equipment,14.25183296,4.400790215,3.703975916,17.95349693
FIS UN Equity,Fidelity National Information Services I,141.72,Information Technology,IT Services,27.95875359,1.72737205,5.844780922,52.7203331
FISV UW Equity,Fiserv Inc,108.02,Information Technology,IT Services,31.96965981,1.376171947,6.131521225,39.17350388
FITB UW Equity,Fifth Third Bancorp,23.38,Financials,Banks,13.57056522,1.12894702,2.223380089,11.11535835
FLIR UW Equity,FLIR Systems Inc,39.75,Information Technology,"Electronic Equipment, Instruments & Components",21.57147217,3.739325047,3.725323915,27.48644829
FLS UN Equity,Flowserve Corp,38.2,Industrials,Machinery,26.43369675,3.628621101,1.653162003,23.58692932
FLT UN Equity,FleetCor Technologies Inc,251.89,Information Technology,IT Services,22.86837578,6.61562109,9.385022163,30.77039146
FMC UN Equity,FMC Corp,94.32,Materials,Chemicals,32.53894043,5.089912891,2.831896067,16.38166237
FOX UW Equity,Fox Corp,29,Communication Services,Media,11.70093346,2.1900599,1.964519024,16.01565742
FOXA UW Equity,Fox Corp,29.3,Communication Services,Media,11.70093346,2.1900599,1.964519024,16.01565742
FRC UN Equity,First Republic Bank/CA,98.95,Financials,Banks,25.51111221,2.274782896,4.74476099,22.58653831
FRT UN Equity,Federal Realty Investment Trust,118.87,Real Estate,Equity Real Estate Investment Trusts (REITs),--,4.093877792,10.28486633,42.18720627
FTI UN Equity,TechnipFMC PLC,13.595,Energy,Energy Equipment & Services,24.29909325,1.251526952,0.715995014,76.2278595
FTNT UW Equity,Fortinet Inc,103.6,Information Technology,Software,25.50355911,13.8669281,8.470003128,58.83302689
FTV UN Equity,Fortive Corp,67.69,Industrials,Machinery,22.14768219,3.474622965,3.504719019,27.87957191
GD UN Equity,General Dynamics Corp,164.13,Industrials,Aerospace & Defense,25.56218719,3.761713028,1.29211998,14.72036743
GE UN Equity,General Electric Co,9.955,Industrials,Industrial Conglomerates,--,3.444751978,0.921064019,19.66166306
GILD UW Equity,Gilead Sciences Inc,75.55,Health Care,Biotechnology,9.910216331,3.652149916,3.674945116,12.14657784
GIS UN Equity,General Mills Inc,53.73,Consumer Staples,Food Products,13.13938808,4.130592823,1.897426963,15.42964935
GL UN Equity,Globe Life Inc,88.84,Financials,Insurance,8.686008453,1.554301977,2.538937092,15.55796242
GLW UN Equity,Corning Inc,24.42,Information Technology,"Electronic Equipment, Instruments & Components",--,2.091243982,1.96369195,17.34220314
GM UN Equity,General Motors Co,30.1,Consumer Discretionary,Automobiles,7.032331944,1.226071954,0.379644006,7.587901115
GOOG UW Equity,Alphabet Inc,1311.3199,Communication Services,Interactive Media & Services,29.9443779,4.576746941,5.7295928,28.23415756
GOOGL UW Equity,Alphabet Inc,1309.42,Communication Services,Interactive Media & Services,29.9443779,4.576746941,5.7295928,28.23415756
GPC UN Equity,Genuine Parts Co,85.28,Consumer Discretionary,Distributors,26.05427361,4.202653885,0.798352003,18.78491974
GPN UN Equity,Global Payments Inc,183.35,Information Technology,IT Services,28.7569809,1.967607975,7.472099781,54.57345581
GPS UN Equity,Gap Inc/The,13.195,Consumer Discretionary,Specialty Retail,10.37054062,1.738751054,0.39241299,8.031942368
GRMN UW Equity,Garmin Ltd,88.5,Consumer Discretionary,Household Durables,32.24059677,3.919141054,4.980536938,22.22632217
GS UN Equity,Goldman Sachs Group Inc/The,197.67,Financials,Capital Markets,4.837524891,1.010151982,1.584207058,9.718919754
GWW UN Equity,WW Grainger Inc,288,Industrials,Trading Companies & Distributors,22.4694767,9.797467232,1.610661983,19.57398605
HAL UN Equity,Halliburton Co,14.46,Energy,Energy Equipment & Services,23.51538277,2.68156004,0.955694973,20.3482914
HAS UW Equity,Hasbro Inc,74.32,Consumer Discretionary,Leisure Products,26.23924637,4.832063198,2.871845007,25.9848175
HBAN UW Equity,Huntington Bancshares Inc/OH,11.615,Financials,Banks,10.6716938,1.456665039,2.770179987,11.87401581
HBI UN Equity,Hanesbrands Inc,12.279,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",7.704615116,4.346708775,0.776337981,8.391564369
HCA UN Equity,HCA Healthcare Inc,125.51,Health Care,Health Care Providers & Services,14.74007893,--,0.988173008,14.08397198
HD UN Equity,Home Depot Inc/The,233.55,Consumer Discretionary,Specialty Retail,22.58857155,--,2.260011911,22.25365829
HES UN Equity,Hess Corp,53.98,Energy,"Oil, Gas & Consumable Fuels",--,2.33326602,3.098776102,--
HFC UN Equity,HollyFrontier Corp,30.77,Energy,"Oil, Gas & Consumable Fuels",6.772092819,1.372863054,0.481875986,9.517989159
HIG UN Equity,Hartford Financial Services Group Inc/Th,51.11,Financials,Insurance,6.483260155,1.37212503,1.057271957,11.29370403
HII UN Equity,Huntington Ingalls Industries Inc,210.13,Industrials,Aerospace & Defense,28.12124062,6.445783138,1.167032003,15.30225658
HLT UN Equity,Hilton Worldwide Holdings Inc,91.49,Consumer Discretionary,"Hotels, Restaurants & Leisure",24.46891022,--,3.368891001,34.77071762
HOG UN Equity,Harley-Davidson Inc,27.84,Consumer Discretionary,Automobiles,8.550668716,3.143183947,1.091261983,11.12417889
HOLX UW Equity,Hologic Inc,47.2,Health Care,Health Care Equipment & Supplies,26.02666092,6.13852787,4.154137135,--
HON UN Equity,Honeywell International Inc,163.55,Industrials,Industrial Conglomerates,21.01870346,6.80570507,3.475614071,19.93477249
HP UN Equity,Helmerich & Payne Inc,31.18,Energy,Energy Equipment & Services,11.02386093,1.244181991,1.854395986,28.44822884
HPE UN Equity,Hewlett Packard Enterprise Co,11.67,Information Technology,"Technology Hardware, Storage & Peripherals",22.28049469,1.047850013,0.647849023,10.39745426
HPQ UN Equity,HP Inc,21.49,Information Technology,"Technology Hardware, Storage & Peripherals",7.22704792,--,0.540929019,11.52867985
HRB UN Equity,H&R Block Inc,20.65,Consumer Discretionary,Diversified Consumer Services,10.72820091,--,1.628733039,11.95693779
HRL UN Equity,Hormel Foods Corp,43.5,Consumer Staples,Food Products,41.30226135,4.166625977,2.65241909,27.17733765
HSIC UW Equity,Henry Schein Inc,58.57,Health Care,Health Care Providers & Services,16.85980415,3.183567047,0.984371006,18.94301033
HST UN Equity,Host Hotels & Resorts Inc,13.075,Real Estate,Equity Real Estate Investment Trusts (REITs),31.12127495,1.808112025,2.4782269,23.11863518
HSY UN Equity,Hershey Co/The,157.36,Consumer Staples,Food Products,21.28774261,17.64797783,3.85539794,25.38820267
HUM UN Equity,Humana Inc,368.96,Health Care,Health Care Providers & Services,10.80636787,4.022531033,0.757124007,21.7989254
IBM UN Equity,International Business Machines Corp,128.82,Information Technology,IT Services,9.529297829,5.706182957,1.541511059,10.52593803
ICE UN Equity,Intercontinental Exchange Inc,96.96,Financials,Capital Markets,22.07494736,2.971468925,9.988197327,26.39166451
IDXX UW Equity,IDEXX Laboratories Inc,252.17,Health Care,Health Care Equipment & Supplies,73.89281464,125.7602158,9.342832565,53.51024628
IEX UN Equity,IDEX Corp,148.29,Industrials,Machinery,27.25949097,5.78250885,5.212062836,29.60883522
IFF UN Equity,International Flavors & Fragrances Inc,125.24,Materials,Chemicals,31.21180916,2.216023922,2.810404062,26.34817886
ILMN UW Equity,Illumina Inc,274.705,Health Care,Life Sciences Tools & Services,58.01262665,10.58890724,13.78290939,52.37823868
INCY UW Equity,Incyte Corp,78.2,Health Care,Biotechnology,30.47931862,7.264702797,8.694415092,40.61257553
INFO UN Equity,IHS Markit Ltd,71.44,Industrials,Professional Services,35.73968887,3.438353062,6.57439518,45.5213356
INTC UW Equity,Intel Corp,56.825,Information Technology,Semiconductors & Semiconductor Equipment,15.59675694,3.318909883,3.681245089,13.635849
INTU UW Equity,Intuit Inc,283.11,Information Technology,Software,33.55475616,19.59853935,10.24429607,45.30150986
IP UN Equity,International Paper Co,36.25,Materials,Containers & Packaging,7.794205189,2.341008902,0.81358701,10.42131329
IPG UN Equity,Interpublic Group of Cos Inc/The,20.51,Communication Services,Media,6.717597008,3.220468998,0.87263298,13.16890621
IPGP UW Equity,IPG Photonics Corp,126.32,Information Technology,"Electronic Equipment, Instruments & Components",60.33559799,3.19867301,5.839898109,34.88819885
IQV UN Equity,IQVIA Holdings Inc,136.72,Health Care,Life Sciences Tools & Services,35.87421036,4.949571133,2.717502117,81.11506653
IR UN Equity,Ingersoll Rand Inc,27.92,Industrials,Machinery,24.90529823,4.022573948,3.043996096,35.21867371
IRM UN Equity,Iron Mountain Inc,31.7,Real Estate,Equity Real Estate Investment Trusts (REITs),33.45179749,6.254424095,2.145601988,34.93165588
ISRG UW Equity,Intuitive Surgical Inc,562.27,Health Care,Health Care Equipment & Supplies,58.21002197,8.298047066,15.23598385,53.50746536
IT UN Equity,Gartner Inc,125,Information Technology,IT Services,33.27278519,14.6380949,3.259706974,63.78073883
ITW UN Equity,Illinois Tool Works Inc,167.65,Industrials,Machinery,21.77758408,18.98402977,4.123898983,23.72773933
IVZ UN Equity,Invesco Ltd,13.285,Financials,Capital Markets,8.23479557,0.587940991,1.292116046,7.543250084
